word,phon
raided,ɹe‍ɪdɪd
pollute,pəlut
offish,ɒfɪʃ
meters,mitəz
masochistic,mæsəkɪstɪk
tibia,tɪbiɐ
unicycles,junɪsa‍ɪkə‍lz
evocations,ɪvəke‍ɪʃənz
teetotaller,titə‍ʊtɔlɐ
snazziest,snæzɪəst
incubate,ɪnkjube‍ɪt
fixers,fɪksəz
latency,le‍ɪtnsi
siphoned,sa‍ɪfənd
tense,tɛns
fiends,findz
postwar,pə‍ʊstwɔ
annoyed,ɐnɔ‍ɪd
explain,ɛksple‍ɪn
guan,ɡwɑn
truanted,tɹuəntɪd
curt,kɜt
outthink,a‍ʊtθɪŋk
cuprous,kʌpɹəs
priestess,pɹistɛs
pandemic,pændɛmɪk
shall,ʃæl
crumbling,kɹʌmblɪŋ
spurt,spɜt
hooliganism,hulɪɡənɪzəm
orbit,ɔbɪt
congeniality,kənd‍ʒinɪælɪti
goers,ɡə‍ʊəz
ions,a‍ɪɒnz
barmen,bɑmɛn
bedsheets,bɛdʃits
verses,vɜsɪz
emboldened,ɛmbə‍ʊldənd
jibbed,d‍ʒɪbd
oppositions,ɒpəzɪʃənz
crimps,kɹɪmps
admissibility,ɐdmɪsəbɪlɪti
maximal,mæksɪmə‍l
exterminator,ɛkstɜmɪne‍ɪtɐ
caricaturist,kæɹɪkət‍ʃɔɹɪst
unquenchable,ʌnkwɛnt‍ʃəbə‍l
freshness,fɹɛʃnəs
mahoganies,məhɒɡənɪz
receivable,ɹɪsivəbə‍l
lefter,lɛftɐ
outsources,a‍ʊtsɔsɪz
cheapo,t‍ʃipə‍ʊ
evince,ɪvɪns
freshman,fɹɛʃmən
hinders,hɪndəz
infighting,ɪnfa‍ɪtɪŋ
scherzo,ʃɜzə‍ʊ
preachy,pɹit‍ʃi
advantageously,ɐdvɑnte‍ɪd‍ʒəsli
swift,swɪft
rousing,ɹa‍ʊzɪŋ
canniness,kænɪnəs
novelist,nɒvɪlɪst
thees,ðiz
despondent,dɪspɒndənt
dissented,dɪsɛntɪd
muddled,mʌdə‍ld
victoria,vɪktɔɹi‍ə
slather,slɑðɐ
nepotism,nɛpətɪzəm
receipt,ɹɪsit
interference,ɪntəfi‍əɹəns
carnation,kɑne‍ɪʃən
escapades,ɛskɐpe‍ɪdz
cells,sɛlz
blunderers,blʌndəɹəz
commercialism,kəmɜʃə‍lɪzəm
hog,hɒɡ
hearth,hɑθ
encourage,ɛnkʌɹɪd‍ʒ
liquidity,lɪkwɪdɪti
quizzers,kwɪzəz
tabling,te‍ɪblɪŋ
clods,klɒdz
constellation,kɒnstɪle‍ɪʃən
primus,pɹɪməs
retrospect,ɹɛtɹə‍ʊspɛkt
curbing,kɜbɪŋ
perfects,pɜfɛkts
blooms,blumz
marigolds,mæɹɪɡə‍ʊldz
boson,bɒsən
decompose,dikəmpə‍ʊz
begetting,bɪɡɛtɪŋ
sideling,sa‍ɪdə‍lɪŋ
sib,sɪb
revamping,ɹɪvæmpɪŋ
clinker,klɪŋkɐ
tormenting,tɔmɛntɪŋ
generalisable,d‍ʒɛnəɹəla‍ɪzəbə‍l
condign,kənda‍ɪn
vectoring,vɛktəɹɪŋ
largess,lɑd‍ʒɛs
zipped,zɪpt
gilt,ɡɪlt
glints,ɡlɪnts
bodkins,bɒdkɪnz
orthodontic,ɔθədɒntɪk
potheads,pɒthɛdz
tacklers,tækləz
maraschino,mæɹɐst‍ʃinə‍ʊ
kipping,kɪpɪŋ
fluorometer,flɔɹɒmɪtɐ
ruminant,ɹumɪnənt
valise,vɐlis
gobbled,ɡɒbə‍ld
storekeepers,stɔkipəz
nah,nɑ
ransacking,ɹænsækɪŋ
brisk,bɹɪsk
intelligible,ɪntɛlɪd‍ʒəbə‍l
heaviest,hɛviəst
steno,stinə‍ʊ
embarrassed,ɛmbæɹəst
flashbacks,flæʃbæks
flush,flʌʃ
disclosed,dɪsklə‍ʊzd
financiers,fa‍ɪnænsi‍əz
splendid,splɛndɪd
diaries,da‍ɪəɹɪz
jackals,d‍ʒækə‍lz
soccer,sɒkɐ
autobahn,ɔtə‍ʊbɑn
pesetas,pɛsɛtəz
trepidation,tɹɛpɪde‍ɪʃən
jingle,d‍ʒɪŋɡə‍l
insertion,ɪnsɜʃən
livings,lɪvɪŋz
nutria,njutɹiɐ
bullfight,bʊlfa‍ɪt
picnic,pɪknɪk
masterstrokes,mɑstəstɹə‍ʊks
twig,twɪɡ
homelands,hə‍ʊmləndz
marbles,mɑbə‍lz
cheesiness,t‍ʃisɪnəs
spurted,spɜtɪd
excite,ɛksa‍ɪt
shamefacedly,ʃe‍ɪmfe‍ɪsɪdli
sandpit,sændpɪt
appearances,ɐpi‍əɹənsɪz
stubbed,stʌbd
firefighters,fa‍ɪ‍əfa‍ɪtəz
quivered,kwɪvəd
whiting,wa‍ɪtɪŋ
scarpered,skɑpəd
scriptoria,skɹɪptɔɹi‍ə
prithee,pɹɪθi
stretchier,stɹɛt‍ʃɪɐ
enclosure,ɛnklə‍ʊʒɐ
geographers,d‍ʒɪɒɡɹəfəz
stances,stɑnsɪz
owed,ə‍ʊd
slung,slʌŋ
miners,ma‍ɪnəz
fogbound,fɒɡba‍ʊnd
trickster,tɹɪkstɐ
eclipsing,ɪklɪpsɪŋ
beetroot,bitɹut
