word,phon
carénant,kaʁenɑ
vasodilatation,vazɔdilatasjɔ
dégourdirai,deguʁdiʁɛ
avili,avili
binious,binju
ingurgitera,ɛgyʁʒitəʁa
enrouiez,ɑʁuje
grignotement,gʁiɲɔtmɑ
paginâmes,paʒinam
disjoigne,disʒwɛɲ
valsiez,valsje
déchiffrerions,deʃifʁəʁjɔ
champagnisent,ʃɑpaɲiz
composées,kɔpoze
blackboulât,blakbula
anathématisé,anatematize
rigolés,ʁigɔle
enrôlions,ɑʁoljɔ
amarineraient,amaʁinəʁɛ
idéalisme,idealism
baissassions,bɛsasjɔ
garrottasses,gaʁɔtas
vérificative,veʁifikativ
bectera,bɛktəʁa
assimilions,asimiljɔ
dessinâtes,desinat
cadenceraient,kadɑsəʁɛ
répertoriâtes,ʁepɛʁtɔʁjat
auxiliaires,oksiljɛʁ
reperdre,ʁəpɛʁdʁ
balançais,balɑsɛ
débanderas,debɑdəʁa
devenus,dəvəny
carapaterions,kaʁapatəʁjɔ
ingéniosité,ɛʒenjozite
embaumerai,ɑboməʁɛ
éborgneraient,ebɔʁɲəʁɛ
cocolez,kɔkɔle
abuserions,abyzəʁjɔ
ornèrent,ɔʁnɛʁ
satisfais,satisfɛ
pointerons,pwɛtəʁɔ
rognions,ʁɔɲjɔ
partagerai,paʁtaʒəʁɛ
rouvert,ʁuvɛʁ
citerait,sitəʁɛ
coulerait,kuləʁɛ
marmonnent,maʁmɔn
caressée,kaʁɛse
médicaliserons,medikalizəʁɔ
marcher,maʁʃe
garanceraient,gaʁɑsəʁɛ
briseriez,bʁizəʁje
confisquant,kɔfiskɑ
chamailleuses,ʃamajøz
millésimaient,milezimɛ
laidement,lɛdmɑ
paraphraserait,paʁafʁazəʁɛ
carderez,kaʁdəʁe
décarcasserai,dekaʁkasəʁɛ
crotté,kʁɔte
shampouinassiez,ʃɑpwinasje
entôlâmes,ɑtolam
tronquerions,tʁɔkəʁjɔ
relanceras,ʁəlɑsəʁa
promenèrent,pʁɔmənɛʁ
affichait,afiʃɛ
fourguerons,fuʁgəʁɔ
protestiez,pʁɔtɛstje
blues,bluz
biseautassiez,bizotasje
sédentarisant,sedɑtaʁizɑ
dispenserais,dispɑsəʁɛ
couvrants,kuvʁɑ
ripolinassent,ʁipɔlinas
pensionnent,pɑsjɔn
adjurât,adʒyʁa
étoilait,etwalɛ
amidonnions,amidɔnjɔ
merdouillant,mɛʁdujɑ
caractérisai,kaʁakteʁizɛ
tonsureraient,tɔsyʁəʁɛ
affluèrent,aflyɛʁ
tourmentées,tuʁmɑte
lardèrent,laʁdɛʁ
invectivas,ɛvɛktiva
fourvoyâmes,fuʁvwajɑm
fortiches,fɔʁtiʃ
heurteront,ʼœʁtəʁɔ
hydre,idʁ
contrais,kɔtʁɛ
désincrustera,dezɛkʁystəʁa
désodorisée,dezɔdɔʁize
tamponneraient,tɑpɔnəʁɛ
incendieront,ɛsɑdjəʁɔ
rétrocèderiez,ʁetʁɔsɛdəʁje
collent,kɔl
investigueront,ɛvɛstigəʁɔ
essaimée,eseme
apprêtent,apʁet
mitoyen,mitwajɛ
bruyamment,bʁɥijamɑ
fréquentables,fʁekɑtabl
diverger,divɛʁʒe
partenariats,paʁtənaʁja
sadomasochismes,sadɔmazɔʃism
zozotant,zɔzɔtɑ
embrassées,ɑbʁase
installées,ɛstale
déboucleront,debukləʁɔ
carbonisa,kaʁbɔniza
agonisés,agɔnize
cuvâmes,kyvam
raccourciriez,ʁakuʁsiʁje
régentas,ʁeʒɑta
soulagea,sulaʒa
rapporterez,ʁapɔʁtəʁe
cégépienne,seʒepjɛn
humidifièrent,ymidifjɛʁ
regrefferions,ʁəgʁefəʁjɔ
palettisassent,paletizas
auditionnât,odisjɔna
institueraient,ɛstityʁɛ
surélevant,syʁeləvɑ
révéreraient,ʁeveʁəʁɛ
distançâmes,distɑsɑm
perdureront,pɛʁdyʁəʁɔ
distribuassiez,distʁibɥasje
lorgnerions,lɔʁɲəʁjɔ
baguerions,bagəʁjɔ
relies,ʁəli
multiplierons,myltiplijəʁɔ
engrangeassiez,ɑgʁɑʒasje
cavalcadais,kavalkadɛ
ennuient,ɑnɥi
renchérir,ʁɑʃeʁiʁ
uniras,yniʁa
caillât,kaja
pacifierez,pasifjəʁe
rails,ʁaj
remercieras,ʁəmɛʁsjəʁa
ouvrerai,uvʁəʁɛ
morigénons,mɔʁiʒenɔ
verdâtre,vɛʁdatʁ
crâneuses,kʁanøz
confisons,kɔfizɔ
plaiderai,plɛdəʁɛ
digitalisés,diʒitalize
reformerait,ʁəfɔʁməʁɛ
récolterez,ʁekɔltəʁe
rechangeais,ʁəʃɑʒɛ
patronnerions,patʁɔnəʁjɔ
kayaks,kajak
festonner,fɛstɔne
vianderais,vjɑdəʁɛ
fâcha,faʃa
décalaminerait,dekalaminəʁɛ
parlementèrent,paʁləmɑtɛʁ
désenfument,dezɑfym
reprocherai,ʁəpʁɔʃəʁɛ
croyables,kʁwajabl
ambitionnions,ɑbisjɔnjɔ
pluriannuel,plyʁianɥɛl
rempocherais,ʁɑpɔʃəʁɛ
brima,bʁima
ébattons,ebatɔ
flétrissons,fletʁisɔ
retraduits,ʁətʁadɥi
variait,vaʁjɛ
accompliras,akɔpliʁa
flambasses,flɑbas
effrangées,efʁɑʒe
passaient,pasɛ
inaccoutumée,inakutyme
instauratrice,ɛstɔʁatʁis
briguer,bʁige
sursautent,syʁsot
manuelle,manɥɛl
revoyant,ʁəvwajɑ
encerclera,ɑsɛʁkləʁa
dédiera,dedjəʁa
listèrent,listɛʁ
vête,vet
fourragé,fuʁaʒe
approcheraient,apʁɔʃəʁɛ
moellon,mwalɔ
accrochassent,akʁɔʃas
liseuses,lizøz
remontassions,ʁəmɔtasjɔ
casernement,kazɛʁnəmɑ
tique,tik
gravitais,gʁavitɛ
paramédicale,paʁamedikal
réactualisai,ʁeaktɥalizɛ
tournaillâmes,tuʁnajam
récapitulative,ʁekapitylativ
orgies,ɔʁʒi
fripée,fʁipe
ritualisera,ʁitɥalizəʁa
cartonnage,kaʁtɔnaʒ
réinventée,ʁeɛvɑte
casernai,kazɛʁnɛ
monuments,mɔnymɑ
lamentées,lamɑte
confinées,kɔfine
ferrons,fɛʁɔ
tétaniseraient,tetanizəʁɛ
désactiveront,dezaktivəʁɔ
poursuivront,puʁsɥivʁɔ
saturions,satyʁjɔ
inconsistant,ɛkɔsistɑ
honorifiques,ɔnɔʁifik
qualifier,kalifje
