word,phon
Sonnenstichen,zɔnənʃtɪçn
Kürass,kyʁas
eruptivem,eʁʊptivm
Dragees,dʁaʒes
Blutbahnen,blutbanən
Ungerechtigkeit,ʊnɡəʁɛçtɪçkaɪt
sündhafterem,zʏnthaftəʁəm
Märtyrertodes,mɛʁtyʁɐtodəs
behinderterer,bəhɪndɐtəʁɐ
ambitiösere,ambitsiøzəʁə
Minirock,mɪniʁɔk
permissivstem,pɛʁmɪsifstəm
pillepalle,pɪləpalə
Eulans,ɔɪlans
elaborierterer,elaboʁiɐtəʁɐ
Sozinianern,zotsinianɐn
Dudelfunks,dudlfʊŋks
Urenkelin,uɐʔɛŋkəlɪn
morschestem,mɔʁʃəstəm
überbelegten,ybɐbəlektn
rudertet,ʁudɐtət
hochheben,hoxhebn
Jet,dʒɛt
synchronisierst,zʏnkʁoniziɐst
kruderer,kʁudəʁɐ
Akkordes,akɔʁdəs
gewitzigtes,ɡəvɪtsɪçtəs
heischet,haɪʃət
Dezimalbrüche,detsimalbʁʏçə
hämischere,hɛmɪʃəʁə
Steuergeschenke,ʃtɔɪɐɡəʃɛŋkə
Ohrloche,oɐlɔxə
urgierte,uʁɡiɐtə
Kohlenstaubes,kolənʃtaʊbəs
Feingeistern,faɪnɡaɪstɐn
einförmigstes,aɪnfœʁmɪçstəs
verwandelst,fɛɐvandlst
Hosenmätze,hoznmɛtsə
Ethnie,ɛtni
neuster,nɔɪstɐ
deppertstem,dɛpɐtstəm
Kontaktfunktion,kɔntaktfʊŋktsion
Folterkammern,fɔltɐkamɐn
Lenne,lɛnə
stöpselt,ʃtœpslt
Putt,pʊt
feierlichere,faɪɐlɪçəʁə
flitzest,flɪtsəst
Fragesätze,fʁaɡəzɛtsə
Difformitäten,dɪfɔʁmitɛtn
abfegtest,apfektəst
Bräunlingens,bʁɔɪnlɪŋəns
frotzeln,fʁɔtsln
Amtsantritten,amtsʔantʁɪtn
verliebe,fɛɐlibə
Anpfiffen,anpfɪfn
mehrmotoriger,meɐmotoʁɪɡɐ
herankommest,hɛʁankɔməst
Weidegänge,vaɪdəɡɛŋə
Damenproblem,dammpʁoblem
zappligeres,tsaplɪɡəʁəs
säumigeren,zɔɪmɪɡəʁən
abtauschst,aptaʊʃst
Erze,eɐtsə
Häßler,hɛslɐ
Sehlöcher,zelœçɐ
bemoostet,bəmostət
fischig,fɪʃɪç
Probiergläser,pʁobiɐɡlɛzɐ
tupf,tʊpf
Sparte,ʃpaʁtə
Exilant,ɛksilant
Hochschrank,hoxʃʁaŋk
Basketballers,baskətbalɐs
Maßstab,masʃtap
vertüdeltet,fɛɐtydltət
täte,tɛtə
decouvrierest,dekuvʁiʁəst
Anerkennungen,anʔɛɐkɛnʊŋən
muddele,mʊdələ
schnupfend,ʃnʊpfnt
Wolfsburgern,vɔlfsbʊʁɡɐn
Mundblechen,mʊntblɛçən
gescheitert,ɡəʃaɪtɐt
kriminalisieret,kʁiminaliziʁət
erfreutes,ɛɐfʁɔɪtəs
willkürlichem,vɪlkyɐlɪçm
laicht,laɪçt
umgemünzt,ʊmɡəmʏntst
belieht,bəlit
Pullmanzugs,pʊlmantsuks
Potsdamerinnen,pɔtsdaməʁɪnən
gezankt,ɡətsaŋkt
rationalem,ʁatsionaləm
Enthaltung,ɛnthaltʊŋ
Opulenz,opulɛnts
Füßchen,fysçən
Jagdflugzeugs,jaktfluktsɔɪks
mitschwingen,mɪtʃvɪŋən
fettlöslicher,fɛtløslɪçɐ
spottete,ʃpɔtətə
Rezensent,ʁetsɛnzɛnt
Spannungsregler,ʃpanʊŋsʁeɡlɐ
Wikingerschiff,vikɪŋɐʃɪf
Seminarraume,zeminaɐʁaʊmə
ungenügend,ʊnɡənyɡnt
doubliertet,dubliɐtət
unversehens,ʊnfɛɐzeəns
Flauschbänder,flaʊʃbɛndɐ
abbrauchten,apbʁaʊxtn
Bobbys,bɔbis
heuertet,hɔɪɐtət
hervorhebst,hɛɐfoɐhepst
Coautor,koʔaʊtoɐ
Bauersmanns,baʊɐsmans
totenblass,totnblas
geschwungenem,ɡəʃvʊŋənəm
Racken,ʁakn
Plastiklöffeln,plastɪklœfln
Wildpinkler,vɪltpɪŋklɐ
Niederlande,nidɐlandə
Millionengrabs,milionənɡʁaps
gefühlvollen,ɡəfylfɔlən
schrilltest,ʃʁɪltəst
zermürbteste,tsɛɐmʏʁptəstə
Bänke,bɛŋkə
Sehtestes,zetɛstəs
unzähmbarerer,ʊntsɛmbaʁəʁɐ
Rentenaltern,ʁɛntnʔaltɐn
Dienern,dinɐn
golfet,ɡɔlfət
Westpreußens,vɛstpʁɔɪsns
Schmähkritiken,ʃmɛkʁitikn
Seehechten,zehɛçtn
Profession,pʁofɛsion
Eclairs,eklɛɐ
Gegenionen,ɡeɡnʔionən
Unruhestifters,ʊnʁuəʃtɪftɐs
verdurstete,fɛɐdʊʁstətə
spöttlest,ʃpœtləst
angrillen,anɡʁɪlən
beschleusest,bəʃlɔɪzəst
Gemeindeamt,ɡəmaɪndəʔamt
egressives,eɡʁɛsivəs
Parfümdufte,paʁfymdʊftə
zweckvollstes,tsvɛkfɔlstəs
Cholerikerinnen,koleʁɪkəʁɪnən
einfältiges,aɪnfɛltɪɡəs
bittend,bɪtnt
Durchblick,dʊʁçblɪk
grapschest,ɡʁapʃəst
Gestecken,ɡəʃtɛkn
niedersetzet,nidɐzɛtsət
Amylaldehyds,amylʔaldehyts
makellosester,makəllozəstɐ
Sprengstoffs,ʃpʁɛŋʃtɔfs
zerlest,tsɛɐlest
angelangt,anɡəlaŋt
Aftervasall,aftɐvazal
Bilch,bɪlç
Konkrementen,kɔnkʁemɛntn
Buschenschanks,bʊʃnʃaŋks
obszönerem,ɔpstsønəʁəm
auswähltet,aʊsvɛltət
Handfessel,hantfɛsl
Osternestern,ostɐnɛstɐn
Drohnenpilot,dʁonənpilot
unbändigere,ʊnbɛndɪɡəʁə
wendischem,vɛndɪʃm
falsifiziertet,falzifitsiɐtət
sichtet,zɪçtət
behandschuht,bəhantʃut
maßvollem,masfɔləm
Eierkopfs,aɪɐkɔpfs
zofftet,tsɔftət
Pfahle,pfalə
rollig,ʁɔlɪç
Mittelmotors,mɪtlmotoɐs
Hotelpersonals,hotɛlpɛʁzonals
hamburgischem,hambʊʁɡɪʃm
