word,phon
aardvarks,ɑdvɑks
aardwolf,ɑdwʊlf
abacus,æbækəs
abacuses,æbɐkəsɪz
abandon,ɐbændən
abandoned,ɐbændənd
abandoning,ɐbændənɪŋ
abandonment,ɐbændənmənt
abandons,ɐbændənz
abashed,ɐbæʃt
abate,ɐbe‍ɪt
abated,ɐbe‍ɪtɪd
abatement,ɐbe‍ɪtmənt
abates,ɐbe‍ɪts
abating,ɐbe‍ɪtɪŋ
abbess,æbɛs
abbesses,æbɛsɪz
abbey,æbi
abbeys,æbiz
abbot,æbət
abbots,æbəts
abbreviate,ɐbɹivɪe‍ɪt
abbreviated,ɐbɹivɪe‍ɪtɪd
abbreviates,ɐbɹivɪe‍ɪts
abbreviating,ɐbɹivɪe‍ɪtɪŋ
abbreviation,ɐbɹivɪe‍ɪʃən
abbreviations,ɐbɹivɪe‍ɪʃənz
abdicate,æbdɪke‍ɪt
abdicated,æbdɪke‍ɪtɪd
abdicates,æbdɪke‍ɪts
abdicating,æbdɪke‍ɪtɪŋ
abdication,æbdɪke‍ɪʃən
abdomen,æbdəmən
abdomens,æbdəmənz
abdominal,æbdɒmɪnə‍l
abduct,ɐbdʌkt
abducted,ɐbdʌktɪd
abducting,ɐbdʌktɪŋ
abduction,ɐbdʌkʃən
abductions,ɐbdʌkʃənz
abductor,ɐbdʌktɐ
abductors,ɐbdʌktəz
abducts,ɐbdʌkts
abeam,ɐbim
aberrant,ɐbɛɹənt
aberration,æbəɹe‍ɪʃən
aberrations,æbəɹe‍ɪʃənz
abetted,ɐbɛtɪd
abetting,ɐbɛtɪŋ
abhor,ɐbhɔ
abhorred,ɐbhɔd
abhorrence,ɐbhɒɹəns
abhorrent,ɐbhɒɹənt
abhorring,ɐbhɔɹɪŋ
abhors,ɐbhɔz
abide,ɐba‍ɪd
abided,ɐba‍ɪdɪd
abides,ɐba‍ɪdz
abiding,ɐba‍ɪdɪŋ
abies,ɐba‍ɪz
abigail,æbɪɡe‍ɪl
abilities,ɐbɪlətiz
ability,ɐbɪləti
abjection,æbd‍ʒɛkʃən
abjectly,æbd‍ʒɛktli
abjure,ɐbd‍ʒjɔ
ablation,ɐble‍ɪti‍ən
ablaze,ɐble‍ɪz
able,e‍ɪbə‍l
abler,e‍ɪblɐ
ablest,e‍ɪbləst
ablution,ɐbluʃən
ablutions,ɐbluʃənz
ably,e‍ɪbli
abnegate,æbnɪɡe‍ɪt
abnegation,æbnɪɡe‍ɪʃən
abnormal,ɐbnɔmə‍l
abnormalities,ɐbnɔmælɪtiz
abnormality,ɐbnɔmælɪti
abnormally,ɐbnɔmə‍li
aboard,ɐbɔd
abode,ɐbə‍ʊd
abodes,ɐbə‍ʊdz
abolish,ɐbɒlɪʃ
abolished,ɐbɒlɪʃt
abolishes,ɐbɒlɪʃɪz
abolishing,ɐbɒlɪʃɪŋ
abolishment,ɐbɒlɪʃmənt
abolition,æbəlɪʃən
abolitionist,æbəlɪʃənɪst
abolitionists,æbəlɪʃənɪsts
abominable,ɐbɒmɪnəbə‍l
abominably,ɐbɒmɪnəbli
abominate,ɐbɒmɪne‍ɪt
abominated,ɐbɒmɪne‍ɪtɪd
abomination,ɐbɒmɪne‍ɪʃən
abominations,ɐbɒmɪne‍ɪʃənz
abominator,ɐbɒmɪne‍ɪtɐ
aboriginal,æbəɹɪd‍ʒɪnə‍l
aboriginals,æbəɹɪd‍ʒɪnə‍lz
aborigine,æbəɹɪd‍ʒəni
aborigines,æbəɹɪd‍ʒəniz
abort,ɐbɔt
aborted,ɐbɔtɪd
aborting,ɐbɔtɪŋ
abortion,ɐbɔʃən
abortionist,ɐbɔʃənɪst
abortionists,ɐbɔʃənɪsts
abortions,ɐbɔʃənz
abortive,ɐbɔtɪv
aborts,ɐbɔts
abound,ɐba‍ʊnd
abounded,ɐba‍ʊndɪd
abounding,ɐba‍ʊndɪŋ
abounds,ɐba‍ʊndz
about,ɐba‍ʊt
above,əbʌv
abracadabra,æbɹəkədæbɹɐ
abrade,ɐbɹe‍ɪd
abraded,ɐbɹe‍ɪdɪd
abrades,ɐbɹe‍ɪdz
abrading,ɐbɹe‍ɪdɪŋ
abrasion,ɐbɹe‍ɪʒən
abrasions,ɐbɹe‍ɪʒənz
abrasive,ɐbɹe‍ɪsɪv
abrasiveness,ɐbɹe‍ɪsɪvnəs
abrasives,ɐbɹe‍ɪsɪvz
abraxas,ɐbɹæksəs
abreast,ɐbɹɛst
abri,ɐbɹi
abridged,ɐbɹɪd‍ʒd
abridgement,ɐbɹɪd‍ʒmənt
abroad,ɐbɹɔd
abrogated,æbɹəɡe‍ɪtɪd
abrogating,æbɹəɡe‍ɪtɪŋ
abrogation,æbɹəɡe‍ɪʃən
abrupt,ɐbɹʌpt
abruption,ɐbɹʌpʃən
abruptly,ɐbɹʌptli
abruptness,ɐbɹʌptnəs
abs,æbz
abscess,æbsɛs
abscesses,æbsɛsɪz
abscond,ɐbskɒnd
absconded,ɐbskɒndɪd
absconding,ɐbskɒndɪŋ
absconds,ɐbskɒndz
abseil,æbse‍ɪl
abseiled,æbse‍ɪld
abseiler,æbse‍ɪlɐ
abseiling,æbse‍ɪlɪŋ
abseils,æbse‍ɪlz
absence,æbsəns
absences,æbsənsɪz
absented,æbsɛntɪd
absentee,æbsənti
absenteeism,æbsəntiɪzəm
absentees,æbsəntiz
absenting,æbsɛntɪŋ
absentminded,æbsəntma‍ɪndɪd
absentmindedly,æbsəntma‍ɪndɪdli
absinthe,æbsɪnθ
absolute,æbsəlut
absolutely,æbsəlutli
absolutes,æbsəluts
absolution,æbsəluʃən
absolutism,æbsəlutɪzəm
absolutist,æbsəlutɪst
absolve,ɐbsɒlv
absolved,ɐbsɒlvd
absolves,ɐbsɒlvz
absolving,ɐbsɒlvɪŋ
absorbable,ɐbsɔbəbə‍l
absorb,ɐbsɔb
absorbed,ɐbsɔbd
absorbency,ɐbsɔbənsi
absorbent,ɐbsɔbənt
absorber,ɐbsɔbɐ
absorbers,ɐbsɔbəz
absorbing,ɐbsɔbɪŋ
absorbs,ɐbsɔbz
absorption,ɐbsɔpʃən
abstain,ɐbste‍ɪn
abstained,ɐbste‍ɪnd
abstainers,ɐbste‍ɪnəz
abstaining,ɐbste‍ɪnɪŋ
abstains,ɐbste‍ɪnz
abstemious,ɐbstimi‍əs
abstention,ɐbstɛnʃən
abstentions,ɐbstɛnʃənz
abstinence,æbstɪnəns
abstinent,æbstɪnənt
abstracted,ɐbstɹæktɪd
abstracting,ɐbstɹæktɪŋ
abstraction,ɐbstɹækʃən
abstractions,ɐbstɹækʃənz
abstractly,ɐbstɹæktli
abstruse,ɐbstɹus
